"reef_no","replicate","perimeter_m","area_m2","diam_longest_m","diam_perpendic_m","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
16,2,185.574,2741.85585,59.1,"NA","NA","NA","field","boat","NA","NA","transect tape","ASL","NA"
16,3,176.468,2479.3754,"NA",56.2,"NA","NA","field","boat","NA","NA","transect tape","ASL","NA"
16,1,181,2614,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
16,2,190,2907,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
16,3,185.6,2745,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
16,1,198,3127,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
16,2,201.7,3244,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
16,3,187,2793,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
16,1,174.5,2427,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
16,2,184.5,2716,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
16,3,183.4,2680,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
16,1,185.6,2747,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
16,2,192,2952,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
16,3,193,2975,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
16,1,170,2680,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
16,2,177.4,2470,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
16,3,182.6,2710,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
16,1,175,2470,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
16,2,177,2280,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
16,3,181,2620,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
16,1,195,2330,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
16,2,200,2100,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
16,3,191,2460,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
16,1,205,4000,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
16,2,178,3000,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
16,3,193,2320,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","ASL","NA"
19,1,103.8,857.837579617834,"NA","NA","NA","NA","field","boat","NA","NA","transect tape","ASL","NA"
19,2,94.2,706.5,30,"NA","NA","NA","field","boat","NA","NA","transect tape","ASL","NA"
19,3,103.62,854.865,"NA",33,"NA","NA","field","boat","NA","NA","transect tape","ASL","NA"
19,1,108.6,941,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
19,2,109.43,955,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
19,3,106,897,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
19,1,104.9,876.9,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
19,2,106.2,899,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
19,3,110.9,979,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
19,1,107.4,919,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
19,2,108.6,940,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
19,3,102.47,838,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","ASL","NA"
19,1,123.8,1222,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
19,2,118.8,1125,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
19,3,117.9,1108,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","ASL","NA"
19,1,126.2,1440,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
19,2,117.3,1760,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
19,3,117.6,1030,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","ASL","NA"
19,1,146.3,1250,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
19,2,107.4,1130,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
19,3,98,1220,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","ASL","NA"
19,1,110,733,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","ASL","NA"
